Sentiment,
positive,"Siddaramaiah says this will be his last election, OK if Congress picks Dalit CM via"
positive,Pic  When BJP is winning...
positive,Pic  When BJP is losing... $NUMBER$
positive, Mr b4 testing Modi ji on every issue this time u need to pass the test st.
negative,Now you have to organize some rallies to overcome that sadness.. wah modiji wah...
positive," If the Country is not safe under Nationalist BJP's hands, lets hand it over to Italian National CONgress where the Senior L"
positive,Jai ho BJP darker ki
positive,"Nuns visit to Srirangam temple BJP, Hindu outfits file complaint"
negative,"BJP govt building a statue of Ram in Ayodhya is communal politics and waste of money, while TDP claiming we built thous"
negative,"Now we have to be beside and behind the Modi sarkaar. There will be last ditch effort by liberals, their paid media"
positive," Despite this, modi will struggle to win banaras, thanks to presstitute"
positive,I found it! Here is a Sanghi who hopes one day Tajinder Bagga will be CM of Punjab from BJP (without alliance with SAD)
positive,A reporter abducted by Water Mafia Goons close to local delhi BJP councillor.
positive,'Congress' Sharif moment?' BJP on cases against P Chidambaram's family
positive, yrs you people hated Modi this much means for years how much others should hate dynast looters. If this is right
positive, BJP .. can it get deposit in one seat in AP?
negative," In years, people will still be talking about Vadivelu. I don't think anyone would know of Modi."
positive, Problem is BJP does not have face&ampresent leadership is scared to take on TMC - plus we have TMC moles in WB BJP
negative, yes !! even aliens have started marching towards earth to defeat modi eecting more than crore new enrollment in v
positive," Dear Rahul Gandhi, stop day dreaming, this massive support and enthusiasm for BJP reflects the mood of Karnataka and the enti"
positive," Because he is Anti-Modi... The EC barred from voting... Just as Bollywood, Tollywood, Mollywood, Bimbliwood h"
positive, That the Karnataka Congress is neck-deep in corruption is well known. Things are so bad that even top Congress leaders wh
positive," CAG wrong, Congress right."
positive,"Police wrong, Congress right."
positive,"Army wrong, Congress right."
positive,"EC and EVM wrong, Congress right."
positive, Massive gatherings at PM Shri 's rallies have singular message that Congress govt. is on its way out in Karnata
positive,Poetry like prose style site:Big BJP win in How? Should get all credit $NUMBER$ C
positive,"ACHE DIN ACHE DIN, BJP LOOTERE KO ACHE DIN, AAM ADMI KO BURAY DIN. MR. MODI &amp; AMITSHAH HATE LES c"
positive,BJP Showed BJP Flags &amp; Raised Slogans against
