Sentiment,
positive, This tweet is helping drive a lot of calls and emails to Congress at a crucial moment ahead of the vote. Every RT hel s
positive, If you want Maxine Waters out of Congress and in retirement. Donate to the campaign at and mak
negative," Truly Said, Congress, Pakistan, Ghadhis, Media, Fake NGO can't find fault in Modi so they Tarnish the image of My Hindustan,"
positive, WHY is our country now dependent on to hold our Congress and President accountable? Whyte
negative, Please RT and keep on RT so pressure on our Congress moves them into action.
positive, Congress to stand with all the families who have lost their dear ones in the ThunderStorm https://
negative,Congress and Pakistan are walking straight into a trap.n.
negative," There is a non-bailable warrant against RR Nagar Congress MLA, Munirathna, in the fake voter ID case. But he's present at s"
negative,. Win in Karnataka for BJP might mean G
positive,"May th is primary day. Please vote Scott Uehlinger for Congress, PA . Scott is a Trum"
negative, The great Congress IT cell head and great FOS champion skip from casting their votes.
positive, He did a lot of harm to Vietnam veterans while in Congress. I never understood why
negative," Now, in the light of the confession by Sharif, RSS &amp; India not only deserves an apology from congress leaders with fog?"
negative, India not safe in BJPs hands as nation cannot be built on divides Shashi Tharoor
negative," Even as you have your Sunday brunch, think whether you've felt, for even a moment, that Congress is not that bad.. Usean"
negative,says intelligence report of state and centre indicates congress simple majority
negative,Congress aims to force Pentagon reform on open burning of munitions Getty/icho.. via
negative,How could he ensure else people verdicts are upon congress nearly per compare to bjp per? By project
negative,These are Facts &amp; Figures which Congress Senior Leader can't deny upon.
positive," What happened to Congress? There was a time when more than % of Congressmen declined to seek re-election. Now, it isll"
negative, Congress Ecosystem helping Congress to protect the corrupt FM and make the corrupt CM a hero inspite of writing on wall. PC c
negative, Post Congress Depression struck me hard already. Instant wish to quit both my jobs at university and do awesome stuff full
negative," Omg. After H-K, Deccan Chronicle, Cong mouthoiece says BJP likely to sweep coastal karnataka. https:// $"
negative, Rahul's leadership depends on stupid thick-headedness
negative, Rahul - I am proud of you. This is the treatment Indian nationals deservrt
positive,"Congress ko vote doge, to Rahul"
negative,Keep Gaddar away from the party so congress once again come in the power.
negative,Anand Mishra b/o Late Sarla Mishra( congress leader M.Pll
negative,Minirity voting has been lower? Deccan Chronicle says it may hurt Cong big time as M voted less than % in charged
positive, we eed and Congress favorite Aziz Burney who authored /11 RSS conspiracy within a week of its pub s
positive,  Congress did nothing in years.
positive, Congress did nothing in years.
negative,"Lets Talk Elections, with Benito Benny Bernal running for the US Congress representing The th"
negative, Congress Wool for Future Markets opens with a theatrical start in Hong Kong
positive, Congress will win + seats in Karnataka
negative, The internet is essential to marginalized communities. Congress must fight back against the and go on for
negative, Karnataka will b Saffronised on May !!
positive,Pappu will b in search of new massage Destination!!
negative," Now, in the light of the confession by Sharif, RSS &amp; India not only deserves an apology from congress leaders with fold"
negative, By executive order the President should demand the release of a list of every member of Congress who ever used taayn. M
positive," Sorry media and Congress Pidis. When was the last time out of exit polls picked the wrong winner? You know it, we k"
negative,) Apologize to whom? To the same congress that approll
negative," After subjugating and/or weakening Congress, the AFP, PNP, CHR, COMELEC, and the Media, the Supreme Court and Constitst"
negative, Vendetta politics will increase. Half the bogus cases against Congress leaders will be back to divert attentioce
negative, They Can't Even Manage A Marriage Ceremony And Dreaming To Manage Entire Country By Extending Support To Rahul Gandhi. Ju
positive,"Congress and BJP"" both parties are ruling since long time. But any party can't bring atmosphere li.."
negative, No more congress gunda raj So feeling discomfo s
negative, Sad thing is that even an exit poll agency is held to a higher standard of performance than Rahul Gandhi.
negative,Congress is even less confident of a clear majority after exit polls.
negative,Has Chidambaram left congress?
negative,After filing charge sheet against P.Chidambaram of congress in huge immovable assets in abroad by Income tax depart
positive,Fake account. Probably good old pappu trying to extract some revenge on Shehzad.
negative, Arrange King Al Saud To Finance And Operate The Border Wall; Forty Years Of Tolls As Compensation? FUCK CONGRESS; CHEll
positive," hints at role in /11 attacks Though , author of the book, /11 RSS ki Saazish? has ap"
negative,Oyo APC LG Congress Now HoldsSunday via Thisdng
negative," Omg. After H-K, Deccan Chronicle, Cong mouthoiece says BJP likely to sweep coastal karnataka. https:// ."
negative,Congress just adjourned for weeks.
negative,the way u are tweeting against BJP and NARENDRA MODI it seems that Rahul Gandhi is the producer of ur next movie
negative, Planned Parenthood donated more money to Congress in one election than the NRA has since s
negative, May release that faster than Congress slushfund list of sexual abusers.
negative," Sanjay Patil, BJP candidate from Belagavi rural. Listen to him lambasting Rahul Gandhi for disrespecting Vishveshwaraiah and V"
negative,"Dear Modiji, i am herewith enclosing my prediction for bjp prospects in karnataka based on my calculation. pls ack."
negative," Honourable knows Modi always sides with Corrupts like Nirav Modi, Mehul Bhai etc and have no hopes from him, ll"
negative,Lets start with Congress! Gina Haspel is well qualified women for CIA director but Congre $NUMBER$
negative,"Me, too. And that there were a whole lot more mothers in Congress."
negative," Which is why I think Congress members like Maxine Waters, Elizabeth Waren, Nancy Polesi and Kamala Harris who have been"
positive,In such case as party Congress have existence in all states of India but do u a $NUMBER$
positive, Will you for vote Rahul Gandhi as PM?ss
negative, dies June thending the Internet as we know itunless Congress passes the CRA resolution blocking the
negative,Didnt know Constable Ombale was a Congresswoman? Who amongst congress leaders urged him to throw himself on Kashi
positive, When did Rajdeep say Cong sweeping city? D
negative,"In Pappu Party, Pappu is never blamed for defeats, for that a minion is sacrificed."
negative,He was the main campaigner for Congress in Karnataka!!
positive, I appeal to all office bearers &amp; workers of the Congress party in Karnataka to provide all possible assistance to those af
negative, This is a horrible idea and every member of Congress associated with it should lose next election.
negative,"Ayyo, the complaint is not about his leading BJP but about his Congress past. Leaders with Congress paOU"
positive, Congress party must apologise to Nation who blaming RSS is involvement
negative,"Definitely under congress, where u can marry beautiful, independent"
negative,Michael Avenatti is doing Congress job for them. I wish he accepted Paypal.
negative, Congress is all set to make Indi
negative,"Is this administration/Congress purposefully destroying us back down to Third World country, with no"
negative, MUSLIM BODY SEEKS VOTES FOR CONG
negative, Was Sunanda safe in Congi's hand ? She died a natural death as per Tharoor only but a Congi who himself couldn't kee
negative, Live on at pm on whether Rahul Gandhi will pass the when it comes to - Rahul j
negative," A rioter, a criminal, a thug, a female actor and a corrupt CA these are the top of the BJP and a CM candidate who has been ja"
negative," Omg. After H-K, Deccan Chronicle, Cong mouthoiece says BJP likely to sweep coastal karnataka. https://t."
negative,Congressional challengers use bill backed by drug companies against incumbents
negative,You blamed the Congress for abandoning Shaheed Bhagat Singh.
negative,It is a complete disgrace that congress would even entertain testimony from a terrorist! Shameful!
positive, While Congress debates whether climate change is real. It is having real and deadly consequences now and its devastati s
positive," This is who I want to stand with in Congress. , you are a legend."
negative, An excellent meeting of Congress family of Puri DCC addressed by AICC Secretary Garu and Odisha PCC W
negative, Minirity voting has been lower? Deccan Chronicle says it may hurt Cong big time as M voted less than % in charged coastal kar
negative, This so reminds me of Rahul Gandhi vs Narendra Modi. $NUMBER$c
negative, I bet a higher percentage of Congress would fail a drug test than those on assistance.
negative," ""Prime Minister Rahul Gandhi should initiate an investigation against Mr. P Chidambram by ordering CBI"" ~ Defence Minll"
negative, Delhi Leaders and workers of Congress staged protest against CM Arvind Kejriwal &amp; Aam Aadmi Party alleging scam in CCTV Camera pr
negative, Modi's critic Kashmiri Muslim comes out in defence of Modi's Mother when A Hindu critic writes something derogatory a
negative, I want to ask our opponents and the Congress whose senior party leaders have launched a book that /11 attack was an RSS conspiR$
positive, One more thought on this Tweet - the founding fathers did not anticipate spineless blobs of protoplasm in congress like McCon
negative,Its not country but congress is not safe either in Modi's Hands or Rahul's Hanpa
negative,Congress OKs sex-trafficking bill that critics say will censor the Internet $NUMBER$
negative," Without action from Congress, net neutrality is set to end on June ."
negative,Will congress utter any single statement for corruption charges on PC?
negative, One of the Most Hard worker for Congress Party Bhai Aman Ahmad from Firozpur Jhirka constituency
negative,With the Congress not being shown favourably you would not like it
positive,"Cong only alternative in state and Centre, says Hooda junior"
negative, Deccan Chronicle is Cong mouthpiece and is saying even cong leaders on ground say reddy brothers played power politics and took
negative," In , a book named26/11  RSS ki Sazishwas released by Digvijay Singh. The book claims the RSS &amp; BJP are behind /ll"
negative, They can get civil society to sit on dharna at Ramleela Maidan to force Prime Minister Rahul Gandhis hand on this. https:
negative," Honourable knows Modi always sides with Corrupts like Nirav Modi, Mehul Bhai etc and have no hopes from him, so"
positive,Congress party will not in govt for sure.
negative," . Congress (past, present, &amp; future) participates in Social Security. All funds in the Congressional retirement fund move"
negative,"The First President of India, Past President Congress Party"
negative, Vote for Trinamool Congress candidates in the Panchayat elections.
negative," Big sermons on propriety and lessons on democracy by campaigning against Hindus and their culture,eect too much from other"
negative," Ever wonder why ""We Don't Say His Name"" gushed praises for Huma...While smearing those in Congress that dared q"
negative, u ppl have any shame? CONgress leaders was busy labelling /11 was RSS ki sazish &amp; now some moron come out and giving gy
negative," rd International Congress on Medieval Studies attendance total ,623"
negative,Yes &amp; NDTV must be praying they are wrong this time so that Congress gets to form Govt otherwise &amp;
negative, Congress leader said that Prime Minister Narendra Modi visited at Nepals temples just to influence voter
negative," I won't remain neutral when a political party is working against my language/identity, if that makes me cong supporter so"
negative,Now Sacrificing Congress for her Son
negative, No more congress gunda raj So feeling discomfort
positive, What about RSS link on /11 terrorist attack. ?
negative,Don't spread fake propaganda again RSS &amp; Hindus.
negative,"Apparently is running for congress, and this is the funniest thing I've read all weeki"
positive, The NSC spying on White House staff to facilitate a political purge is a new level of crazy. Congress needs to figure out n:
negative,I am praying daily for Congress to win the karnataka election I am Victor a close friend
negative, $NUMBER$ INR Looted by only one leader of Congress. Imagine What amount all leaders of Congress have looted.
negative,No Sir..Then India is not safe in either Congress hands. Nation cant be allowed to loot by
